Test,Status: 03/21/2023,Comment: 03/21/2023,Status: 03/17/2023,Comment: 03/17/2023
FW Boot Up (Check depthcharge screen comes up in dev mode),Pass,,Pass,
"Boot from USB stick, #rootdev -s should show USB",Pass,,Fail,
"OS Installation to storage/NVMe, reboot and check OS boot to login screen",Pass,,Fail,
Chrome login,Pass,,Fail,
Chrome browse,Pass,,Fail,
"USB Key Board, mouse, Pen Drive: USB 2.0/USB3.x",Pass,,Fail,
S0ix – 10 cycle,Fail,"System does not S0ix power state; system stays in S0 power state when suspended

Verified with two scenarios - ethernet only and Wifi only",Trackpad,Pass
SSH to DuT,Pass,,Fail,
WiFi w/ Harrison Peak2,Pass,,Fail,"Was able to connect to chrometest wifi network at the login screen, but after logging it disconnected and unable to reconnect. Shows the error 'Error configuring network'

Rebooted system tried connecting before logging in still gave error, the chrometest gets added to the list of known networks. After logging in, was able to connect by clicking on chrometest in the network list.

Wifi unstable. Sometimes after reboot not able to connect to Chrometest"
BT w/ Harrison Peak2 (Connect a BT device and check if it works),Pass,,Pass,
Wired - RJ45 Ethernet,Pass,,Pass,
"Test Built-in Camera app (Test build-in camera app, if not present install from chrome web store)",Fail,"Photo capture - able to capture photos with both UFC and WFC; can view the preview of the captured image as well with no issues

Video recording - able to record video with both UFC and WFC; but there is garbage screen when recorded video is played and glitches are observed. 
On the first try, DUT rebooted by itself after clicking start record.",Pass,"Camera preview works fine after applying the BKM

Photo capture - able to capture photos with both UFC and WFC; can view the preview of the captured image as well with no issues

Video recording - able to record video with both UFC and WFC; but there is garbage screen when recorded video is played and glitches are observed

Applied camera BKM - add <cameraNumber value=""2""/> in /etc/camera/libcamhal_profile.xml file, sync and reboot"
WebGL Aquarium (http://otc-cros-media.iind.abcd.com/),Pass,,Pass,
eDP display,Pass,,Pass,
VP9 Playback (http://otc-cros-media.iind.abcd.com/),Pass,,Pass,
Reboot (#reboot from browser console),Pass,,Pass,
shutdown -h now,Pass,,Pass,
Files App,Pass,,Pass,
"ARC++ (install a APK) with ADB Install

1. Boot OS and check lscpu => supports Vt-x 
2. run ""/usr/bin/generate_camera_profile""
3. /usr/local/autotest/bin/autologin.py --arc --enable_default_apps
4. adb connect <dut ip>
5. Accept request on the DUT screen
6. Download .apk file for app, copy to USB pendrive to  locally install
7. adb install “path/to/app.apk”",Pass,,Pass,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ARC++ (launch playstore and install an app),Pass,,Pass,
"Misc (Mosys, crossystem)",Pass,,Pass,
"twAN #mmcli -L (will list the path and index of the modem ), if not present, Fail",Pass,,Pass,
"twAN #mmcli -m [PATH|INDEX] ([PATH][INDEX] can be found from above command), if not present, Fail",Pass,,Pass,
Meet call connection to any other peer,Pass,,Pass,
Meet call audio check,Pass,,Pass,
Meet call camera/video check,Pass,,Pass,
Coldboot test:,,,,
Shutdown -h now,Pass,,Pass,
check G3 in ec,Pass,,Pass,
use powerbtn to wake,Pass,,Pass,
S0ix – 10 cycle,Fail,"System does not S0ix power state; system stays in S0 power state when suspended

Verified with two scenarios - ethernet only and Wifi only",Fail,"Tried 5 times with both ethernet and wifi connect and disconnected

Suspend     1 of 5: sleep for 10 seconds...Suspend failed.

tlsdated start/running, process 22643

Finished 1 iterations.
Premature wakes: 0
Late wakes: 0
Suspend failures: 1
Hwrng errors: 0
Wakealarm errors: 0
Firmware log errors: 0
EC detected AP suspend errors: 0
s0ix errors: 0
"
